#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
1232 VMOVDQU                      328                0
1234 VMOVDQU32                      1                0
1235 VMOVDQU64                    491                0
1236 VMOVDQU8                       3                0
1245 VMOVNTDQ                      24                0
1249 VMOVQ                         13                0
1297 VPAND                          9                0
1312 VPBROADCASTB                  12                0
1313 VPBROADCASTD                   8                0
1320 VPCMPB                       326                0
1321 VPCMPD                       119                0
1322 VPCMPEQB                     268                0
1323 VPCMPEQD                     155                0
1338 VPCMPUB                       15                0
1456 VPMINUB                      152                0
1457 VPMINUD                       67                0
1468 VPMOVMSKB                    357                0
1512 VPOR                          15                0
1514 VPORQ                         12                0
1589 VPTERNLOGD                    22                0
1592 VPTESTMB                      44                0
1593 VPTESTMD                      36                0
1608 VPXOR                         27                0
1610 VPXORQ                        90                0
1703 VZEROALL                      19                0
1704 VZEROUPPER                    30                0
1710 WRPKRU                         1                0
1717 XADD_LOCK                     32                0
1719 XCHG                         250                0
1723 XOR                         6050                0
1724 XORPD                         70                0
1725 XORPS                         55                0
1743 XTEST                         19                0
3000 *total                    263359                0
3001 *mem-atomic                  646                0
3002 *stack-read                31376               42
3003 *stack-write               35557                0
3004 *iprel-read                11911                1
3005 *iprel-write                 978                0
3007 *mem-read-1                 2749                5
3008 *mem-read-2                  628                0
3010 *mem-read-4                10577               43
3014 *mem-read-8                32102               33
3016 *mem-read-10                1647                0
3022 *mem-read-16               10537                0
3034 *mem-read-28                  29                0
3038 *mem-read-32                1124                0
3070 *mem-read-64                  36                0
3519 *mem-write-1                1525                9
3520 *mem-write-2                 483                0
3522 *mem-write-4                6913               16
3526 *mem-write-8               31556               40
3528 *mem-write-10                738                0
3534 *mem-write-16               3546                0
3546 *mem-write-28                 29                0
3550 *mem-write-32                489                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                          131                0
   8 ADD                      4797023                0
   9 ADDPD                      68544                0
  11 ADDSD                     426601                0
  31 AND                        74606                0
  35 ANDPD                         12                0
  63 BSF                         2727                0
  64 BSR                           25                0
  66 BT                            35                0
  71 BTS                           11                0
  75 CALL_NEAR                 165105                0
  77 CDQ                         7592                0
  78 CDQE                      165397                0
  93 CMOVB                          0               99
  94 CMOVBE                         0               24
  95 CMOVL                          0              543
  96 CMOVLE                         0              689
  97 CMOVNB                         0               14
  98 CMOVNBE                        0             2449
  99 CMOVNL                         0              129
 103 CMOVNS                         0               15
 104 CMOVNZ                         0              362
 107 CMOVS                          0               36
 108 CMOVZ                          0            34592
 109 CMP                      4012486                0
 123 CMPXCHG_LOCK                2293                0
 124 COMISD                      2618                0
 126 CPUID                         61                0
 127 CQO                            1                0
 141 CVTSI2SD                   39567                0
 149 CVTTSD2SI                    165                0
 155 DEC                           56                0
 157 DIV                          234                0
 160 DIVSD                      20320                0
 237 FNSTCW                        11                0
 284 IDIV                        7593                0
 285 IMUL                      159780                0
 287 INC                            5                0
 310 JB                         21169                0
 311 JBE                       137349                0
 314 JL                         62774                0
 315 JLE                       363496                0
 316 JMP                       203149                0
 318 JNB                       127220                0
