#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
1256 VMOVUPS                      173                0
1268 VMULSD                       272                0
1274 VORPD                         20                0
1296 VPALIGNR                      60                0
1297 VPAND                        218                0
1299 VPANDN                       200                0
1312 VPBROADCASTB                  25                0
1313 VPBROADCASTD                   8                0
1320 VPCMPB                       197                0
1321 VPCMPD                        54                0
1322 VPCMPEQB                     522                0
1323 VPCMPEQD                      85                0
1324 VPCMPEQQ                      20                0
1330 VPCMPGTB                     400                0
1334 VPCMPISTRI                    96                0
1338 VPCMPUB                        9                0
1456 VPMINUB                      200                0
1457 VPMINUD                       17                0
1468 VPMOVMSKB                    523                0
1512 VPOR                         242                0
1514 VPORQ                          6                0
1553 VPSHUFB                        1                0
1562 VPSLLDQ                       30                0
1575 VPSRLDQ                       30                0
1581 VPSUBB                        34                0
1589 VPTERNLOGD                     9                0
1592 VPTESTMB                      40                0
1608 VPXOR                         56                0
1610 VPXORQ                        50                0
1685 VSTMXCSR                      12                0
1689 VSUBSD                       174                0
1701 VXORPD                        55                0
1703 VZEROALL                      18                0
1704 VZEROUPPER                   251                0
1715 XABORT                         3                0
1717 XADD_LOCK                     31                0
1718 XBEGIN                         2                0
1719 XCHG                         209                0
1720 XEND                           1                0
1721 XGETBV                         1                0
1723 XOR                         3343                0
1724 XORPD                         13                0
1728 XRSTOR                         2                0
1732 XSAVE                          1                0
1734 XSAVEC                         1                0
1743 XTEST                         18                0
3000 *total                    178091                0
3001 *mem-atomic                  431                0
3002 *stack-read                14113               28
3003 *stack-write               14134                0
3004 *iprel-read                 2540                7
3005 *iprel-write                 892                0
3007 *mem-read-1                 2750               11
3008 *mem-read-2                  457                0
3010 *mem-read-4                 5923               10
3014 *mem-read-8                20203               35
3016 *mem-read-10                  16                0
3022 *mem-read-16                5478                0
3034 *mem-read-28                   3                0
3038 *mem-read-32                1119                0
3070 *mem-read-64                 435                0
3518 *mem-write-0                   1                0
3519 *mem-write-1                1063               21
3520 *mem-write-2                 225                0
3522 *mem-write-4                3688                3
3526 *mem-write-8               15432               22
3528 *mem-write-10                 13                0
3534 *mem-write-16               3655                0
3546 *mem-write-28                  3                0
3550 *mem-write-32                593                0
3582 *mem-write-64                226                0
4030 LAST                           1                0
4094 LAST                           2                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           69                0
   8 ADD                       305382                0
  11 ADDSD                      22590                0
  31 AND                        15802                0
  35 ANDPD                          2                0
  63 BSF                           64                0
  64 BSR                            3                0
  71 BTS                            2                0
  75 CALL_NEAR                  11187                0
  77 CDQ                          332                0
  78 CDQE                       90021                0
  93 CMOVB                          0                1
  94 CMOVBE                         0               13
  96 CMOVLE                         0                2
  97 CMOVNB                         0                2
  98 CMOVNBE                        0               81
 100 CMOVNLE                        0                1
 103 CMOVNS                         0                1
 104 CMOVNZ                         0               61
 107 CMOVS                          0               15
 108 CMOVZ                          0               24
 109 CMP                        53243                0
 123 CMPXCHG_LOCK                  30                0
 126 CPUID                         61                0
 127 CQO                            1                0
 141 CVTSI2SD                   12420                0
 155 DEC                           12                0
 157 DIV                           36                0
 160 DIVSD                       2114                0
 237 FNSTCW                         2                0
 284 IDIV                         333                0
 285 IMUL                       20627                0
 287 INC                            2                0
 310 JB                          1157                0
 311 JBE                         1058                0
 314 JL                         31666                0
 315 JLE                         3689                0
 316 JMP                        10058                0
 318 JNB                          841                0
 319 JNBE                        1847                0
 320 JNL                           48                0
 321 JNLE                        4844                0
 324 JNS                           28                0
 325 JNZ                        13148                0
 327 JP                             2                0
 329 JS                          2268                0
 330 JZ                          9247                0
 388 LEA                       115608                0
 389 LEAVE                        132                0
 427 MOV                       396840                0
 428 MOVAPD                      7202                0
 429 MOVAPS                       242                0
 431 MOVD                          40                0
 436 MOVDQA                        77                0
 437 MOVDQU                       173                0
 440 MOVHPS                        11                0
 454 MOVQ                       12814                0
 458 MOVSD_XMM                 184734                0
 464 MOVSX                         34                0
 465 MOVSXD                      8137                0
 467 MOVUPS                       304                0
 468 MOVZX                      19108                0
 472 MUL                           97                0
 475 MULSD                      34880                0
 480 NEG                           57                0
 482 NOP                        14109                0
 491 NOT                            2                0
 493 OR                         12593                0
 510 PADDQ                          4                0
 526 PCMPEQB                      242                0
 527 PCMPEQD                        1                0
 538 PCMPISTRI                      9                0
 592 PMINUB                        14                0
 595 PMOVMSKB                     155                0
 616 POP                        12159                0
 623 POR                           66                0
 633 PSHUFB                         3                0
 634 PSHUFD                        33                0
 642 PSLLDQ                         1                0
 652 PSUBB                          7                0
 667 PUNPCKLBW                     32                0
 668 PUNPCKLDQ                      3                0
 669 PUNPCKLQDQ                   212                0
 670 PUNPCKLWD                     32                0
 671 PUSH                       12415                0
 678 PXOR                       12578                0
 695 RDTSCP                        10                0
 740 RET_NEAR                   11181                0
 743 ROL                            4                0
 744 ROR                            1                0
 756 SAR                        12716                0
 759 SBB                            2                0
 770 SETB                           4                0
 774 SETNB                          2                0
 777 SETNLE                         1                0
 781 SETNZ                         71                0
 782 SETO                           1                0
 786 SETZ                         111                0
 796 SHL                        14870                0
 797 SHLD                           2                0
 799 SHR                         5220                0
 800 SHRD                           4                0
 802 SHUFPD                         4                0
 821 STOSQ                          0               79
 826 SUB                        13181                0
 829 SUBSD                      18432                0
 833 SYSCALL                       39                0
 847 TEST                        9466                0
 856 TZCNT                          2                0
 858 UCOMISD                        4                0
 877 VADDSD                     13825                0
 890 VANDNPD                      141                0
 892 VANDPD                      5692                0
 917 VCMPSD                       706                0
 920 VCOMISD                     2153                0
1225 VMOVAPD                    15890                0
1249 VMOVQ                       7531                0
1250 VMOVSD                     19280                0
1268 VMULSD                     22597                0
1274 VORPD                       1179                0
1608 VPXOR                       1163                0
1685 VSTMXCSR                    2112                0
1689 VSUBSD                     16875                0
1701 VXORPD                       804                0
1719 XCHG                         102                0
1721 XGETBV                         1                0
1723 XOR                        11197                0
1724 XORPD                       1056                0
3000 *total                   1667028              280
3001 *mem-atomic                   60                0
3002 *stack-read               514112                0
3003 *stack-write              155475                0
3004 *iprel-read                34422                0
3005 *iprel-write                 220                0
3007 *mem-read-1                 4964                0
3008 *mem-read-2                16734                0
3010 *mem-read-4               297307                0
3014 *mem-read-8               314131                0
3022 *mem-read-16                1987                0
3519 *mem-write-1                 276                0
3520 *mem-write-2                2072                0
3522 *mem-write-4               74790                0
3526 *mem-write-8              121766                0
3534 *mem-write-16                472                0
# $eof
