#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
1589 VPTERNLOGD                    22                0
1592 VPTESTMB                      44                0
1593 VPTESTMD                      36                0
1608 VPXOR                         27                0
1610 VPXORQ                        90                0
1703 VZEROALL                      19                0
1704 VZEROUPPER                    30                0
1710 WRPKRU                         1                0
1717 XADD_LOCK                     32                0
1719 XCHG                         250                0
1723 XOR                         5026                0
1724 XORPD                          4                0
1743 XTEST                         19                0
3000 *total                    172719                0
3001 *mem-atomic                  646                0
3002 *stack-read                18187               41
3003 *stack-write               20275                0
3004 *iprel-read                 3208                1
3005 *iprel-write                 878                0
3007 *mem-read-1                 2690                5
3008 *mem-read-2                  459                0
3010 *mem-read-4                 6461               27
3014 *mem-read-8                23809               33
3016 *mem-read-10                  36                0
3022 *mem-read-16                 797                0
3034 *mem-read-28                   6                0
3038 *mem-read-32                1124                0
3070 *mem-read-64                  36                0
3519 *mem-write-1                1490                9
3520 *mem-write-2                 344                0
3522 *mem-write-4                5160                1
3526 *mem-write-8               19995               40
3528 *mem-write-10                 21                0
3534 *mem-write-16               1477                0
3546 *mem-write-28                  5                0
3550 *mem-write-32                489                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           73                0
   8 ADD                      2390366                0
  11 ADDSD                    2883592                0
  31 AND                      1054220                0
  35 ANDPD                          3                0
  63 BSF                          329                0
  64 BSR                           10                0
  66 BT                             5                0
  71 BTS                            3                0
  75 CALL_NEAR                   1780                0
  77 CDQ                            6                0
  78 CDQE                     1048602                0
  93 CMOVB                          0               75
  94 CMOVBE                         0               17
  96 CMOVLE                         0                3
  97 CMOVNB                         0               10
  98 CMOVNBE                        0               65
 103 CMOVNS                         0                6
 104 CMOVNZ                         0              194
 107 CMOVS                          0               13
 108 CMOVZ                          0               93
 109 CMP                      1339319                0
 123 CMPXCHG_LOCK                  47                0
 126 CPUID                         61                0
 127 CQO                            1                0
 141 CVTSI2SD                 3407883                0
 149 CVTTSD2SI                3407878                0
 155 DEC                           10                0
 157 DIV                          166                0
 237 FNSTCW                         3                0
 284 IDIV                           7                0
 285 IMUL                          85                0
 310 JB                           986                0
 311 JBE                         1899                0
 314 JL                            16                0
 315 JLE                          200                0
 316 JMP                         2397                0
 318 JNB                          642                0
 319 JNBE                        2921                0
 320 JNL                           25                0
 321 JNLE                        6410                0
 324 JNS                           51                0
 325 JNZ                      1325193                0
 327 JP                             3                0
 329 JS                           272                0
 330 JZ                         15179                0
 388 LEA                       531455                0
 389 LEAVE                          2                0
 427 MOV                      2422877                0
 428 MOVAPD                   6553615                0
 429 MOVAPS                       421                0
 431 MOVD                          66                0
 436 MOVDQA                       561                0
 437 MOVDQU                      1175                0
 439 MOVHPD                       260                0
 440 MOVHPS                        14                0
 442 MOVLPD                       260                0
 454 MOVQ                         558                0
 458 MOVSD_XMM                     32                0
 464 MOVSX                        167                0
 465 MOVSXD                    524771                0
 467 MOVUPS                      1765                0
 468 MOVZX                       6754                0
 472 MUL                          104                0
 475 MULSD                   12058644                0
 480 NEG                          129                0
 482 NOP                         2795                0
 491 NOT                            6                0
 493 OR                           675                0
 510 PADDQ                          4                0
 517 PAND                           8                0
 526 PCMPEQB                      905                0
 527 PCMPEQD                        1                0
 595 PMOVMSKB                     500                0
 616 POP                         4915                0
 623 POR                          107                0
 634 PSHUFD                        50                0
 642 PSLLDQ                       157                0
 649 PSRLDQ                        44                0
 652 PSUBB                        342                0
 667 PUNPCKLBW                     48                0
 668 PUNPCKLDQ                      8                0
 669 PUNPCKLQDQ                   348                0
 670 PUNPCKLWD                     48                0
 671 PUSH                        6260                0
 678 PXOR                     3408611                0
 694 RDTSC                          8                0
 695 RDTSCP                        11                0
 740 RET_NEAR                    1774                0
 743 ROL                           16                0
 744 ROR                            1                0
 756 SAR                      1048893                0
 759 SBB                           13                0
 774 SETNB                          7                0
 777 SETNLE                        11                0
 781 SETNZ                         83                0
 782 SETO                          13                0
 786 SETZ                         446                0
 796 SHL                         2263                0
 797 SHLD                           3                0
 799 SHR                         2969                0
 800 SHRD                          12                0
 802 SHUFPD                         8                0
 821 STOSQ                          0              390
 826 SUB                         4505                0
 829 SUBSD                    3145734                0
 833 SYSCALL                       88                0
 847 TEST                       12767                0
 856 TZCNT                          6                0
 858 UCOMISD                        6                0
1717 XADD_LOCK                      6                0
1719 XCHG                         344                0
1721 XGETBV                         1                0
1723 XOR                         3185                0
1728 XRSTOR                         2                0
1732 XSAVE                          2                0
3000 *total                  46643282              866
3001 *mem-atomic                  164                0
3002 *stack-read                17438                0
3003 *stack-write               14916                0
3004 *iprel-read               270585                0
3005 *iprel-write                 571                0
3007 *mem-read-1                10190                0
3008 *mem-read-2                  829                0
3010 *mem-read-4              2904664                0
3014 *mem-read-8                26635                0
3022 *mem-read-16                1843                0
3519 *mem-write-1                 383                0
3520 *mem-write-2                  28                0
3522 *mem-write-4             1845869                0
3526 *mem-write-8               16814                0
3534 *mem-write-16               2056                0
3582 *mem-write-64                  4                0
4094 LAST                           2                0
# $eof
