              Procedure           Image            Address        Calls Instructions
      parmacs_roi_begin        CHOLESKY       55a39a5d5720            1           15
               MyMalloc        CHOLESKY       55a39a5d5410          125        15386
              MyFreeNow        CHOLESKY       55a39a5d5330            5          273
                 MyFree        CHOLESKY       55a39a5d5220           89         9906
             MigrateMem        CHOLESKY       55a39a5d5210           84          168
             MallocInit        CHOLESKY       55a39a5d5110            1           28
        InitOneFreeList        CHOLESKY       55a39a5d5020            2           86
             ReadSparse        CHOLESKY       55a39a5d46d0            1      1151445
            LowerToFull        CHOLESKY       55a39a5d4270            1      1057148
                  Value        CHOLESKY       55a39a5d4080        96084       491256
              NewVector        CHOLESKY       55a39a5d4030            1           10
             FreeMatrix        CHOLESKY       55a39a5d3fe0            1           16
        ComputeWorkTree        CHOLESKY       55a39a5d3df0            2       109919
         FindSupernodes        CHOLESKY       55a39a5d3c40            1        46833
              ComputeNZ        CHOLESKY       55a39a5d3ab0            1      1882419
          ParentToChild        CHOLESKY       55a39a5d39c0            2        89810
   EliminationTreeFromA        CHOLESKY       55a39a5d3810            1      1692319
            ComposePerm        CHOLESKY       55a39a5d3790            1        12674
           PlaceDomains        CHOLESKY       55a39a5d3650            1         2428
                     Go        CHOLESKY       55a39a5d31c0            1          163
      CreatePermutation        CHOLESKY       55a39a5d3130            2         5478
             NoSegments        CHOLESKY       55a39a5d3070            1         2295
 ComputeTargetBlockSize        CHOLESKY       55a39a5d2ed0            1          794
          FindMaxHeight        CHOLESKY       55a39a5d2e30         1806        78766
              Partition        CHOLESKY       55a39a5d2630            1        12756
             AddInOrder        CHOLESKY       55a39a5d24c0           41          608
    MarkSubtreeAsDomain        CHOLESKY       55a39a5d2220           41         5257
         FactorLLDomain        CHOLESKY       55a39a5d1700           41      2341980
     ModifySuperBySuper        CHOLESKY       55a39a5d1540          426        98650
     CompleteSupernodeB        CHOLESKY       55a39a5d1270          193        57627
     ModifyBySupernodeB        CHOLESKY       55a39a5d06d0         1109       503376
  ModifyTwoBySupernodeB        CHOLESKY       55a39a5cf800         5806     19651141
        CompleteColumnB        CHOLESKY       55a39a5cf490         1806       444523
            TaskWaiting        CHOLESKY       55a39a5cf320            1           10
         InitTaskQueues        CHOLESKY       55a39a5cf100            1           34
        BNumericSolveFO        CHOLESKY       55a39a5cf020            1         7601
        DriveParallelFO        CHOLESKY       55a39a5ced70            1         1776
      ComputeReceivedFO        CHOLESKY       55a39a5cdee0            1        18113
           PreProcessFO        CHOLESKY       55a39a5cde90            1           18
        InitRemainingFO        CHOLESKY       55a39a5cddd0            1        10849
     ComputeRemainingFO        CHOLESKY       55a39a5cdad0            1        29261
          CheckReceived        CHOLESKY       55a39a5cda20            1           38
         CheckRemaining        CHOLESKY       55a39a5cd940            1        14474
          PreAllocateFO        CHOLESKY       55a39a5cce80            1        17627
         PreAllocate1FO        CHOLESKY       55a39a5ccd90            1           50
   CreateBlockedMatrix2        CHOLESKY       55a39a5cbe90            1        81654
              DumpSizes        CHOLESKY       55a39a5cbd70            2        32084
              SortByKey        CHOLESKY       55a39a5cbd00            1          531
                BlDepth        CHOLESKY       55a39a5cbcc0           41          656
               FillInNZ        CHOLESKY       55a39a5cbbb0            1        34352
                 FillIn        CHOLESKY       55a39a5cb820         1806      1994458
             AllocateNZ        CHOLESKY       55a39a5cb6e0            1        18083
        FillInStructure        CHOLESKY       55a39a5cb450            1         6800
  FindDetailedStructure        CHOLESKY       55a39a5cb110           41         1230
     FindSuperStructure        CHOLESKY       55a39a5cad90          386      3011904
FindDummyDomainStructure        CHOLESKY       55a39a5ca960           41         1271
       FindDomStructure        CHOLESKY       55a39a5ca8b0          193      1117066
    ComputeBlockParents        CHOLESKY       55a39a5ca680            1        18583
           CreateVector        CHOLESKY       55a39a5ca520            1       775933
        AssignBlocksNow        CHOLESKY       55a39a5c5550            1        14464
                   PADD        CHOLESKY       55a39a5c5400         2313        60138
                   PMOD        CHOLESKY       55a39a5c5300         2313       133383
                   PDIV        CHOLESKY       55a39a5c5220         2313       129528
             InvertPerm        CHOLESKY       55a39a5c5160            2        39798
            Amalgamate2        CHOLESKY       55a39a5c4a90            1        45986
          FixNodeNZAndT        CHOLESKY       55a39a5c48c0            1        61003
          ReorderMatrix        CHOLESKY       55a39a5c47e0          194        27735
          ConsiderMerge        CHOLESKY       55a39a5c4470          503       137159
         JoinTwoSupers2        CHOLESKY       55a39a5c4360          310        39867
            frame_dummy        CHOLESKY       55a39a5c42d0            1            2
  __do_global_dtors_aux        CHOLESKY       55a39a5c4290            1           13
     register_tm_clones        CHOLESKY       55a39a5c4250            1           10
   deregister_tm_clones        CHOLESKY       55a39a5c4220            1            5
                 _start        CHOLESKY       55a39a5c41f0            1           12
                   main        CHOLESKY       55a39a5c3480            1        15504
               .plt.sec        CHOLESKY       55a39a5c3260           67        74720
               .plt.got        CHOLESKY       55a39a5c3250            1            2
                  _init        CHOLESKY       55a39a5c3000            1            7
